day con  rep      hc     co2      co    
 1    1    1    3.69   15.22     .06
 1    1    2    1.62   15.28     .05
 1    1    3    3.58   15.26     .06
 1    2    1    1.38   15.22     .05
 1    2    2    1.23   14.84     .05
 1    2    3    2.85   15.37     .06
 1    3    1    2.12   14.68     .02
 1    3    2    1.41   14.68     .00
 1    3    3     .88   14.75     .00
 1    4    1    8.00   14.74     .03
 1    4    2    9.67   14.76     .06
 1    4    3   12.69   14.74     .05
 2    1    1    5.23   14.92     .05
 2    1    2    6.00   14.95     .06
 2    1    3    3.77   14.94     .04
 2    2    1    8.15   14.95     .07
 2    2    2   15.31   14.98     .07
 2    2    3    5.31   15.18     .05
 2    3    1    1.65   15.60     .04
 2    3    2    4.31   15.39     .03
 2    3    3      NA      NA      NA
 2    4    1   15.15   15.02     .10
 2    4    2   15.54   15.12     .08
 2    4    3   12.31   15.11     .09
 3    1    1    4.23   14.73     .06
 3    1    2     .71   14.86     .05
 3    1    3     .85   14.72     .05
 3    2    1    4.54   14.68     .04
 3    2    2    5.23   14.71     .02
 3    2    3    3.92   14.63     .02
 3    3    1     .15   15.96     .06
 3    3    2     .90   14.22     .01
 3    3    3    4.50   14.42     .02
 3    4    1   15.57   14.46     .06
 3    4    2   13.31   14.51     .08
 3    4    3   14.69   14.60     .09
 4    1    1    2.15   14.25     .05
 4    1    2    4.00   13.80     .05
 4    1    3    5.15   13.62     .06
 4    2    1    4.90   13.61     .04
 4    2    2    6.55   13.53     .03
 4    2    3      NA      NA      NA
 4    3    1     .00   13.96     .02
 4    3    2    3.67   13.89     .04
 4    3    3     .07   13.98     .02
 4    4    1    8.46   13.88     .08
 4    4    2    9.69   13.23     .12
 4    4    3    1.62   13.69     .08
 5    1    1   10.00   13.91     .05
 5    1    2   10.77   13.93     .05
 5    1    3    8.58   14.02     .06
 5    2    1    8.90   14.01     .08
 5    2    2    8.30   14.14     .06
 5    2    3    4.54   14.01     .04
 5    3    1     .31   14.36     .03
 5    3    2    2.31   14.18     .03
 5    3    3    1.00   14.33     .04
 5    4    1   12.69   14.33     .11
 5    4    2   16.23   14.42     .12
 5    4    3   14.46   14.54     .11
 6    1    1    7.54   14.90     .05
 6    1    2    6.69   14.93     .05
 6    1    3    3.92   14.95     .04
 6    2    1    6.92   15.14     .04
 6    2    2    6.54   15.11     .03
 6    2    3    4.69   15.00     .03
 6    3    1    8.69   15.14     .05
